"Shop By","Aktive Filter"
"Position","Relevanz"
"Bestsellers","Beliebtheit"
"Order as Guest","Registrieren / Gast"
"Cart Subtotal","Zwischensumme"
"Shipping Cost","Versandkosten"
"Order Total","Gesamtsumme (inkl. MwSt)"
"Order Summary","Zusammenfassung"
"Apply Discount Code","Gutschein hinzufügen (optional)"
"Enter discount code","Code eingeben"
"Apply Discount","Code einlösen"
"Shipping Methods","Versandkosten"
"More Choices:",""
"Subtotal (incl. VAT)","Zwischensumme (inkl. MwSt.)"
"plus shipping","zzgl. Versand"
"Address Book","Meine Adressen"
"Street Line 2","Adresszusatz"
"You will be redirected to the PayPal website.","Du wirst zur PayPal Website weitergeleitet."
"Street Address","Straße und Hausnummer"
"Address Additional","Adresszusatz"
"Now Shopping by","Aktive Filter"
"Oops! That page can&rsquo;t be found.","DIE SEITE KONNTE LEIDER NICHT GEFUNDEN WERDEN."
"plus","zzgl."
"https://dovo.com/en/shipping-and-payment/","https://dovo.com/liefer-und-zahlungsbedingungen/"
"shipping","Versand"
"You added %1 to your <a href=""%2"">shopping cart</a>.","Du hast %1 zum <a href=""%2"">Warenkorb</a> hinzugefügt.",,
"You added %1 to your shopping cart.","Du hast %1 zu deinem Warenkorb hinzugefügt"
You must login or register to add items to your wishlist.,"Sie müssen sich anmelden oder registrieren, um Artikel zu Ihrer Wunschliste hinzuzufügen.",module,Magento_Wishlist
"%1 has been added to your Wish List.","%1 wurde deinem Wunschzettel hinzugefügt."
"%1 has been moved to your wish list.","%1 wurde auf deinem Wunschzettel verschoben."
"You have no items in your shopping cart.","Du hast keine Artikel im Warenkorb"
"You have no items in your wish list.","Du hast keine Artikel auf deinem Wunschzettel."
"Click <a href=""%1"">here</a> to continue shopping.","Klicke <a href=""%1"">hier</a>, um den Einkauf fortzusetzen."
"Categories","Kategorien"
